exposure,source_algorithm,target_algorithm,method,method_role,scope_type,scope_level,n,mean_error_pred_minus_target,median_error_pred_minus_target,error_sd,error_p05,error_p95,mae,rmse,absolute_error_p50,absolute_error_p90,absolute_error_p95,target_iqr,mae_per_target_iqr,note
daily_steps,acti,adept,isotonic,headline,overall,all,8646,0.6698966361588756,133.77795919766731,1099.3988552491385,-1941.029018545793,1451.645919962593,771.933615618,1099.335479049252,564.0499502324913,1647.8805335154032,2189.7196320314147,1919.4027944454592,0.402173852123114,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,quantile,fullsample_robustness,sex,female,4485,242.22796475296153,50.62406015037595,2019.7865018599623,-2596.80010985938,3702.9497476436673,1451.1032128559466,2034.0359643147924,1088.010204081632,3064.7092310987355,4019.6546026951582,5813.0,0.2496306920447181,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,quantile,fullsample_robustness,bmi_group,<25,2572,-172.71948318894954,-318.2403147699747,2159.846520519676,-3250.7417717086814,3426.5261612337217,1530.4683232103955,2166.322984451652,1137.6380145278454,3284.3817857142853,4297.618163265306,5813.0,0.2632837301239284,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,quantile,fullsample_robustness,bmi_group,25-<30,2741,-202.68707833292007,-389.20937840785155,2037.8472630922467,-3065.8434782608692,3098.6126984126986,1487.000158386511,2047.5322815745824,1158.5882592466933,3071.107142857142,4013.486437613021,5813.0,0.2558059794231053,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,quantile,fullsample_robustness,bmi_group,>=30,3246,303.4336198644377,128.29761904761955,1830.8423218908715,-2235.3820944216145,3284.1280042002536,1296.266329544815,1855.538444431891,943.6777438248024,2743.5919312169303,3540.731359957777,5813.0,0.2229943797599888,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,quantile,fullsample_robustness,bmi_group,missing,87,190.54729096825616,11.9395313681028,1322.0644746338712,-1853.5541873700924,2517.92087912088,847.6937445606842,1328.183896853675,460.46130952380946,2192.8698423158394,2900.9502747252773,5813.0,0.1458272397317536,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,overall,all,8646,-11.000853780573964,-139.42576165669993,1997.136230660179,-2822.6502510332357,3263.897264174794,1419.9780295772512,1997.0510321135896,1068.9383226996852,3012.519213441745,3904.6379503132,5813.0,0.2442762823976004,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,age_group,20-39,2757,601.9184875463612,404.4086615996739,1936.2752910458105,-2125.2198351982374,3949.5700724025705,1438.6154973280145,2027.34012889178,1032.4757322645164,3143.706354589993,4172.9298514654565,5813.0,0.2474824526626551,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,age_group,40-59,2949,55.730545668262536,-94.461260811795,2073.446525612814,-2779.434298979674,3474.922912270202,1472.9228066172054,2073.843905599431,1111.5694896450286,3153.9052771341585,4103.298685992375,5813.0,0.2533842777597119,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,age_group,60+,2940,-652.7047724924716,-707.4714593089129,1770.6990798681793,-3182.134771830164,1943.0319090321173,1349.3937962168163,1886.8842829702385,1067.024013646056,2819.878738761919,3470.491990369234,5813.0,0.2321338028929668,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,sex,male,4161,-273.38804007669114,-374.31730296160094,1950.5322093467903,-3081.3143874658763,2783.8520709999593,1388.6685561826782,1969.366034650638,1045.7736461748243,2974.14752145046,3768.5452820428873,5813.0,0.2388901696512434,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,sex,female,4485,232.43127156572336,43.92142839904122,2009.220271367596,-2612.81423656745,3668.827403273137,1449.0256814824502,2022.3971644937087,1093.7057922060667,3072.800545922914,4003.054839758319,5813.0,0.2492732980358593,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,bmi_group,<25,2572,-184.7270296083664,-324.15587169049536,2137.06277254522,-3250.031133879275,3422.273105032278,1526.5285282947266,2144.6178433003956,1143.0932951938275,3291.8469415116615,4264.745677201931,5813.0,0.2626059742464694,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,bmi_group,25-<30,2741,-214.01885421342624,-396.51806757952454,2026.293036351257,-3062.732024279723,3072.783134947917,1486.1092400656926,2037.1965038998967,1157.9986227389431,3071.1900881353795,4000.5266162038006,5813.0,0.2556527163367783,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,bmi_group,>=30,3246,293.39174779206246,124.9544812051563,1828.093108629056,-2229.3583145482226,3254.229999955164,1295.2669684555403,1851.208680812108,948.0424749458944,2740.528209974039,3537.5205202188667,5813.0,0.222822461458032,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,scssl,monotone_spline,fullsample_robustness,bmi_group,missing,87,164.14487852692542,12.47486611455628,1323.1080814160437,-1917.3810582151325,2440.895013933122,839.5018657945667,1325.6834180214505,491.31701591373235,2223.919969312036,2909.013659165696,5813.0,0.1444180054695625,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,overall,all,8646,0.1228962816707677,156.34806087383458,1643.660424235812,-2771.611444405348,2308.201661130724,1192.4101717562855,1643.565372853587,916.9591649249392,2497.0317474468866,3230.2645943663515,5559.857142857143,0.2144677715844188,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,age_group,20-39,2757,29.290088545090935,123.17471472459692,1601.5660500646666,-2617.398843579537,2390.747668386996,1165.8752472426074,1601.5434299171222,866.2983492063504,2495.63743904925,3228.706527777769,5559.857142857143,0.2096951805210373,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,age_group,40-59,2949,-17.883795289278257,137.0222734254994,1685.0740287088013,-2875.350505154318,2260.84980176076,1223.4555924366332,1684.8832162042595,961.863095238099,2551.2083136127194,3230.7204624060137,5559.857142857143,0.2200516238098726,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,age_group,60+,2940,-9.166972979390705,209.8028860028844,1640.7532309169674,-2734.395957142857,2212.396614187525,1186.1529749188253,1640.499779851819,916.6938537319688,2472.368111420328,3227.033908977395,5559.857142857143,0.2133423475534257,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,sex,male,4161,134.241802743581,285.9468605990769,1658.834986196615,-2676.272562358278,2496.3499999999985,1212.1102940708054,1664.059210966377,927.1935053602592,2571.7965250965244,3272.303460514644,5559.857142857143,0.218011050091103,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,sex,female,4485,-124.30715272345932,43.10503488019276,1619.7378845045555,-2861.253648990277,2122.651332630098,1174.133202090574,1624.3208185438164,903.7027014652032,2436.903120622833,3195.692991806266,5559.857142857143,0.2111804623611608,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,bmi_group,<25,2572,-199.4641079840508,-11.12114809429204,1744.9358526502251,-3253.7488331504173,2255.291901784793,1275.9329818969914,1755.962196057268,959.7920206845783,2677.427403604148,3511.120151395417,5559.857142857143,0.2294902457226275,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,bmi_group,25-<30,2741,-10.737265905006986,171.37760834670917,1663.5653908152665,-2912.727083333335,2313.375965858044,1218.6991369474374,1663.2965606602145,954.6848823866894,2563.30945165945,3265.5770975056657,5559.857142857143,0.2191961242229261,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,bmi_group,>=30,3246,175.46126359748007,277.38216612572023,1531.0681651374855,-2234.986158621641,2365.6214158681773,1110.2530629044663,1540.8550254651243,846.407140136969,2321.156646568164,2951.9636679757823,5559.857142857143,0.1996909334857335,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,isotonic,headline,bmi_group,missing,87,-299.2203310976101,-102.35577200577065,1216.6781259464412,-2472.3382412342226,1228.8834618714632,960.2636667236916,1246.1233731407629,788.3142857142857,2212.693681754754,2633.283138348363,5559.857142857143,0.1727137302362815,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,overall,all,8646,0.4549290516434307,99.77217019203,1673.2284348164474,-2731.653486394558,2469.776031746033,1209.4654042135946,1673.1317307139875,909.5419280847328,2598.5199579831933,3333.655703509022,5559.857142857143,0.2175353382536848,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,age_group,20-39,2757,109.25466872724355,127.57142857142937,1650.5339508974484,-2562.5911285234824,2624.02841378031,1200.945032296912,1653.847266251612,889.9206349206361,2606.1877922077915,3359.3946287467747,5559.857142857143,0.2160028578863378,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,age_group,40-59,2949,49.60494160881058,154.23214285714312,1702.874740825914,-2718.69598277609,2507.8861886088325,1244.3174107594332,1703.30846377584,975.0822510822508,2596.872170771758,3351.536994708994,5559.857142857143,0.2238038458160803,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,age_group,60+,2940,-150.87305370914413,23.261853420613537,1653.9350493462432,-2888.1120993660625,2273.5260416666665,1182.4967300879534,1660.522021300627,865.8942125178337,2569.38349382325,3254.4177495784556,5559.857142857143,0.2126847326656818,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,sex,male,4161,178.1631545646541,254.52915451895024,1680.3207121018677,-2560.865546218489,2717.57142857143,1222.9394839546064,1689.5387677345116,911.9428571428562,2654.9650297619046,3358.0130325814525,5559.857142857143,0.2199587961582323,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,sex,female,4485,-164.41551160825344,-40.58385093167635,1649.775244409975,-2871.568299319727,2222.9628954451364,1196.964702808388,1657.7647479285977,906.063909774437,2507.831428571428,3273.326910299003,5559.857142857143,0.2152869528934123,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,bmi_group,<25,2572,-173.06141330438976,-54.63786699681623,1771.8617117462927,-3077.2421437740695,2455.6907899698326,1295.9110109067558,1779.9504305673922,983.0928822937628,2796.071428571428,3679.244627751789,5559.857142857143,0.2330835087321691,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,bmi_group,25-<30,2741,29.06996869053682,143.77403414195942,1696.4193394862002,-2761.7722007722023,2574.2717879604675,1235.103520249478,1696.3589583565686,929.3849206349204,2668.573260073259,3323.504987423017,5559.857142857143,0.2221466286838394,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,bmi_group,>=30,3246,129.0231681821113,175.8260148321624,1565.7594626753196,-2282.8780373615664,2413.654506362131,1124.4359369436895,1570.8260260234529,841.1632407631982,2361.459608843531,3048.31560465913,5559.857142857143,0.2022418756547143,Full-sample source->target 5-fold OOF residual; aggregate row only.
daily_steps,scrf,vs,quantile,fullsample_robustness,bmi_group,missing,87,-568.3070862125877,-534.2857142857151,1227.119718057509,-2917.944455154982,1096.7102047924209,1018.5857983393952,1345.915093388471,754.277551020408,2163.930219780219,3014.5650176723866,5559.857142857143,0.1832035917771722,Full-sample source->target 5-fold OOF residual; aggregate row only.
