source_algorithm,target_algorithm,support_definition,point_E,E_ci_low,E_ci_high,point_H,H_driver,H_ci_low,H_ci_high,E_bootstrap_success,H_bootstrap_success,bootstrap_requested,ci_method
oak,acti,common_support_linear,0.1634915998897104,0.1602307889707973,0.16817602958370076,0.20912213104637115,age_group,0.1939843628159005,0.24399292479004395,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,adept,original_grid_stage3,0.35810269339218936,0.3515494339288852,0.3672974574335098,0.48167163945641533,age_group,0.40510542223025814,0.6087555697143554,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,adept,common_support_linear,0.35810269339218936,0.3515494339288852,0.3672974574335098,0.38018667175858045,sex,0.32866238544006926,0.5485532621785393,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,scrf,original_grid_stage3,0.18114267292186084,0.17684311313124568,0.18507608344541454,0.14159916069762057,bmi_group,0.1447217198839739,0.2110973801942187,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,scrf,common_support_linear,0.18114267292186084,0.17684311313124568,0.18507608344541454,0.13783053162632586,sex,0.13626720133793602,0.1816569146541148,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,scssl,original_grid_stage3,0.3059599124104593,0.3012606375452257,0.31383130728990094,0.3165864980088033,sex,0.2784824517828299,0.3940852820555003,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,scssl,common_support_linear,0.3059599124104593,0.3012606375452257,0.31383130728990094,0.2829911635706426,sex,0.2750006300021314,0.38496341333279077,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,vs,original_grid_stage3,0.15026221746993668,0.14737543110492277,0.15434552345684263,0.204308053890385,age_group,0.1823348251973391,0.29647761102774,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,vs,common_support_linear,0.15026221746993668,0.14737543110492277,0.15434552345684263,0.14856348962794919,age_group,0.1278043213303372,0.18116440314747298,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,vsrev,original_grid_stage3,0.13898066535564813,0.13596395433250114,0.1433835610666031,0.16046020832822883,age_group,0.15122823494406054,0.21821292550504687,300,300,300,percentile_PSU_within_stratum_bootstrap
oak,vsrev,common_support_linear,0.13898066535564813,0.13596395433250114,0.1433835610666031,0.13804284951513046,bmi_group,0.13222725134262253,0.18017328710493874,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,acti,original_grid_stage3,0.20216910649631487,0.19811566413591247,0.20788961466787234,0.16825854028269352,age_group,0.16414397949754037,0.23129958940010073,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,acti,common_support_linear,0.20216910649631487,0.19811566413591247,0.20788961466787234,0.15679692233909623,age_group,0.14882449729555142,0.20393313131242669,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,adept,original_grid_stage3,0.3676121899104267,0.3610054932226873,0.376156823275164,0.37392611698477346,age_group,0.32361009323775564,0.5304302043637474,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,adept,common_support_linear,0.3676121899104267,0.3610054932226873,0.376156823275164,0.3339168180758487,bmi_group,0.29468970678114015,0.48554340011887653,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,oak,original_grid_stage3,0.17555687871654752,0.1723261161531168,0.17985677638297665,0.14661543572400698,bmi_group,0.14344902483582253,0.1972777082432752,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,oak,common_support_linear,0.17555687871654752,0.1723261161531168,0.17985677638297665,0.1438656266992281,age_group,0.14050502496288858,0.1927052863110167,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,scssl,original_grid_stage3,0.24146205426046052,0.2372091135688153,0.24802608317054528,0.3630843224955557,age_group,0.30534917592088257,0.5159053963653087,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,scssl,common_support_linear,0.24146205426046052,0.2372091135688153,0.24802608317054528,0.2774458589834389,age_group,0.2632926725207973,0.34577325790251057,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,vs,original_grid_stage3,0.21446777158441888,0.21118688636039798,0.22007453166447127,0.1779732677987209,bmi_group,0.15953085626615868,0.27572340335679196,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,vs,common_support_linear,0.21446777158441888,0.21118688636039798,0.22007453166447127,0.18660186659413164,bmi_group,0.15038162298113286,0.25169716221932537,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,vsrev,original_grid_stage3,0.21086646593544256,0.20713127396243128,0.2164281495272,0.1921481987700832,age_group,0.19573977281270694,0.2793943423605444,300,300,300,percentile_PSU_within_stratum_bootstrap
scrf,vsrev,common_support_linear,0.21086646593544256,0.20713127396243128,0.2164281495272,0.19803862672700512,age_group,0.19702483060639273,0.2684897837505531,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,acti,original_grid_stage3,0.3057816664696054,0.3005759369752984,0.31331079426746533,0.35809502500868584,age_group,0.269659721143793,0.45084055219793,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,acti,common_support_linear,0.3057816664696054,0.3005759369752984,0.31331079426746533,0.257018681496285,age_group,0.24690750722459454,0.3122800139623526,300,300,300,percentile_PSU_within_stratum_bootstrap
scssl,adept,original_grid_stage3,0.32612747686623084,0.32027479743515463,0.3344211512993217,0.28577492498640633,age_group,0.27094334667658837,0.40330177539484774,300,300,300,percentile_PSU_within_stratum_bootstrap
