source_algorithm,target_algorithm,n,target_iqr,E,E_recomputed,E_absolute_reproduction_difference,full_range_H,full_range_H_driver,full_range_H_recomputed,full_range_H_absolute_reproduction_difference,common_support_linear_H,common_support_linear_driver,interpretation
adept,vs,8646,5559.857142857143,0.3331956212758588,0.3331956212758588,0.0,0.4073782095239247,age_group,0.40737820952392473,5.551115123125783e-17,0.29527753949702384,age_group,continuous_support_sensitivity_without_acceptability_grade
adept,vsrev,8646,6301.767857142858,0.351861053676361,0.351861053676361,0.0,0.5233363639163713,age_group,0.5233363639163713,0.0,0.49079861914083606,age_group,continuous_support_sensitivity_without_acceptability_grade
oak,acti,8646,5482.084523809524,0.1634915998897104,0.1634915998897104,0.0,0.21828043648797,age_group,0.21828043648797002,2.7755575615628914e-17,0.20912213104637115,age_group,continuous_support_sensitivity_without_acceptability_grade
oak,adept,8646,1919.4027944454594,0.3581026933921893,0.35810269339218936,5.551115123125783e-17,0.4816716394564153,age_group,0.48167163945641533,5.551115123125783e-17,0.38018667175858045,sex,continuous_support_sensitivity_without_acceptability_grade
oak,scrf,8646,7482.482142857143,0.1811426729218608,0.18114267292186084,5.551115123125783e-17,0.1415991606976205,bmi_group,0.14159916069762057,8.326672684688674e-17,0.13783053162632586,sex,continuous_support_sensitivity_without_acceptability_grade
oak,scssl,8646,5813.0,0.3059599124104593,0.3059599124104593,0.0,0.3165864980088033,sex,0.3165864980088033,0.0,0.2829911635706426,sex,continuous_support_sensitivity_without_acceptability_grade
oak,vs,8646,5559.857142857143,0.1502622174699366,0.15026221746993668,8.326672684688674e-17,0.204308053890385,age_group,0.204308053890385,0.0,0.14856348962794919,age_group,continuous_support_sensitivity_without_acceptability_grade
oak,vsrev,8646,6301.767857142858,0.1389806653556481,0.13898066535564813,2.7755575615628914e-17,0.1604602083282288,age_group,0.16046020832822883,2.7755575615628914e-17,0.13804284951513046,bmi_group,continuous_support_sensitivity_without_acceptability_grade
scrf,acti,8646,5482.084523809524,0.2021691064963148,0.20216910649631487,5.551115123125783e-17,0.1682585402826935,age_group,0.16825854028269352,2.7755575615628914e-17,0.15679692233909623,age_group,continuous_support_sensitivity_without_acceptability_grade
scrf,adept,8646,1919.4027944454594,0.3676121899104267,0.3676121899104267,0.0,0.3739261169847734,age_group,0.37392611698477346,5.551115123125783e-17,0.3339168180758487,bmi_group,continuous_support_sensitivity_without_acceptability_grade
scrf,oak,8646,6887.578571428576,0.1755568787165475,0.17555687871654752,2.7755575615628914e-17,0.1466154357240069,bmi_group,0.14661543572400698,8.326672684688674e-17,0.1438656266992281,age_group,continuous_support_sensitivity_without_acceptability_grade
scrf,scssl,8646,5813.0,0.2414620542604605,0.24146205426046052,2.7755575615628914e-17,0.3630843224955557,age_group,0.3630843224955557,0.0,0.2774458589834389,age_group,continuous_support_sensitivity_without_acceptability_grade
scrf,vs,8646,5559.857142857143,0.2144677715844188,0.21446777158441888,8.326672684688674e-17,0.1779732677987209,bmi_group,0.1779732677987209,0.0,0.18660186659413164,bmi_group,continuous_support_sensitivity_without_acceptability_grade
scrf,vsrev,8646,6301.767857142858,0.2108664659354425,0.21086646593544256,5.551115123125783e-17,0.1921481987700832,age_group,0.1921481987700832,0.0,0.19803862672700512,age_group,continuous_support_sensitivity_without_acceptability_grade
