baseline_960_common_support_linear_h_per_target_iqr,baseline_960_full_range_h_per_target_iqr,baseline_960_grouped_oof_mae_per_target_iqr,common_support_linear_h_driver,common_support_linear_h_per_target_iqr,common_support_linear_h_reason,delta_vs_960_common_support_linear_h_per_target_iqr,delta_vs_960_full_range_h_per_target_iqr,delta_vs_960_grouped_oof_mae_per_target_iqr,full_range_h_driver,full_range_h_per_target_iqr,full_range_h_reason,grouped_oof_mae_per_target_iqr,n,source_algorithm,target_algorithm,target_iqr,wear_threshold
0.38956791763269594,0.3895679176326959,0.3628797540400764,sex,0.3931128093932783,ESTIMATED,0.0035448917605823693,0.003544891760582425,0.0009024863937491245,sex,0.3931128093932783,ESTIMATED,0.3637822404338255,9023,vs,adept,1891.8838008096018,600
0.2032828063396666,0.2307854471955746,0.1503969249596241,age_group,0.2200853341746408,ESTIMATED,0.016802527834974185,-0.010700113020933794,-2.9698046623782837e-05,age_group,0.2200853341746408,ESTIMATED,0.1503672269130003,9023,vs,oak,6778.805357142856,600
0.2297599550548853,0.2626703391902109,0.2226053753491854,age_group,0.22987409844913212,ESTIMATED,0.00011414339424681286,0.026034227133085897,0.0017345151727895247,age_group,0.2887045663232968,ESTIMATED,0.22433989052197492,9023,vs,scrf,7354.357142857143,600
0.2923911684528875,0.3702310831805068,0.3058709803208403,sex,0.32421116022105423,ESTIMATED,0.031819991768166744,0.024294896429981117,-0.0009881934805965886,sex,0.3945259796104879,ESTIMATED,0.3048827868402437,9023,vs,scssl,5730.428571428571,600
0.228314892825898,0.2519394147372684,0.1251691158200241,age_group,0.23488449898206423,ESTIMATED,0.0065696061561662245,-0.013482285345404355,0.0020657534212626394,age_group,0.23845712939186403,ESTIMATED,0.12723486924128674,9023,vs,vsrev,6155.571428571429,600
0.24268822920412267,0.2830134855578993,0.217162154151524,age_group,0.27802864361897095,ESTIMATED,0.03534041441484828,0.022723783485937288,0.004947946856785734,age_group,0.3057372690438366,ESTIMATED,0.22211010100830975,9023,vsrev,acti,5395.714285714286,600
0.4100890233091278,0.5021847747843555,0.3761337539390134,sex,0.4075772330957658,ESTIMATED,-0.002511790213361953,-0.0946075416885897,0.0013989017282136085,sex,0.4075772330957658,ESTIMATED,0.377532655667227,9023,vsrev,adept,1891.8838008096018,600
0.12695634323636132,0.2132925563393987,0.1375325838439355,bmi_group,0.12348093110490442,ESTIMATED,-0.003475412131456898,-0.06983192523702927,0.0012018477964892416,age_group,0.14346063110236942,ESTIMATED,0.13873443164042473,9023,vsrev,oak,6778.805357142856,600
0.21480712354761716,0.2152130711973439,0.2175719541187634,sex,0.2746944247941738,ESTIMATED,0.05988730124655661,0.044311428382233675,0.0006602511600561911,sex,0.25952449957957757,ESTIMATED,0.2182322052788196,9023,vsrev,scrf,7354.357142857143,600
0.4020685113198904,0.4020685113198904,0.3380717011698635,sex,0.4380954315661637,ESTIMATED,0.0360269202462733,0.04386055537217404,-0.0007520570684761974,sex,0.44592906669206445,ESTIMATED,0.3373196441013873,9023,vsrev,scssl,5730.428571428571,600
0.19289048044129936,0.2450804794441582,0.1231412136127973,age_group,0.2018756077949383,ESTIMATED,0.008985127353638933,-0.0328691215780052,0.00194206832251205,age_group,0.212211357866153,ESTIMATED,0.12508328193530935,9023,vsrev,vs,5443.5,600
0.3302687017702774,0.326836552910744,0.402173852123114,sex,0.37932890911144806,ESTIMATED,0.04906020734117067,0.05249235620070408,0.0028493655105287785,sex,0.37932890911144806,ESTIMATED,0.4050232176336428,8936,acti,adept,1903.8577016473146,720
0.2382564572094381,0.2422376149418335,0.1621803430204026,age_group,0.2397512167082982,ESTIMATED,0.0014947594988600765,0.014562442695772448,0.0020658657821601145,age_group,0.25680005763760594,ESTIMATED,0.16424620880256272,8936,acti,oak,6804.306785714292,720
0.2461704464688786,0.3104461498615042,0.2063705918579641,age_group,0.25719515363651274,ESTIMATED,0.011024707167634151,-0.03282098529855165,0.0025242932256051287,age_group,0.27762516456295255,ESTIMATED,0.20889488508356924,8936,acti,scrf,7385.142857142857,720
0.282278957192943,0.2584581621641114,0.3102611817644133,sex,0.2758277130034379,ESTIMATED,-0.006451244189505101,0.01997720490321847,0.0003128640403774474,sex,0.27843536706732985,ESTIMATED,0.31057404580479075,8936,acti,scssl,5761.478571428571,720
0.19429577360076491,0.1942957736007649,0.1987904000917201,age_group,0.1979622883274798,ESTIMATED,0.0036665147267148923,0.006534675887472113,0.0028117066521543,age_group,0.200830449488237,ESTIMATED,0.2016021067438744,8936,acti,vs,5462.728571428571,720
0.33481253392162735,0.358467850098483,0.2162259379114645,age_group,0.32872673918552203,ESTIMATED,-0.006085794736105321,0.016575659304074675,0.002920747858793482,age_group,0.37504350940255765,ESTIMATED,0.21914668577025798,8936,acti,vsrev,6196.553571428571,720
0.28116185544986855,0.2811618554498685,0.3734164448683719,age_group,0.2694691877178961,ESTIMATED,-0.011692667731972473,-0.0287381991846396,0.0040250831797000175,age_group,0.2524236562652289,ESTIMATED,0.3774415280480719,8936,adept,acti,5419.6785714285725,720
0.3661914629164892,0.4287027819880495,0.3275148455828061,age_group,0.33790368249356856,ESTIMATED,-0.028287780422920628,-0.029585950376020742,0.002454998125993646,age_group,0.39911683161202877,ESTIMATED,0.3299698437087997,8936,adept,oak,6804.306785714292,720
0.3576706238383281,0.4375086577904454,0.3519926112035008,age_group,0.3431616852166593,ESTIMATED,-0.014508938621668799,0.006325619203372657,0.0015852746434060205,age_group,0.44383427699381806,ESTIMATED,0.3535778858469068,8936,adept,scrf,7385.142857142857,720
0.22802123026103308,0.2802200038319516,0.3153045872148338,age_group,0.23063103312364877,ESTIMATED,0.0026098028626156955,-0.02353602004425842,0.001451450482931882,age_group,0.2566839837876932,ESTIMATED,0.31675603769776567,8936,adept,scssl,5761.478571428571,720
0.29527753949702384,0.4073782095239247,0.3331956212758588,age_group,0.23520538702262786,ESTIMATED,-0.060072152474395984,-0.01119130981882882,0.004129536664442435,age_group,0.39618689970509585,ESTIMATED,0.3373251579403012,8936,adept,vs,5462.728571428571,720
0.49079861914083606,0.5233363639163713,0.351861053676361,age_group,0.40570615696066853,ESTIMATED,-0.08509246218016753,-0.001781690359821786,0.003471100402850258,age_group,0.5215546735565495,ESTIMATED,0.35533215407921126,8936,adept,vsrev,6196.553571428571,720
0.20912213104637115,0.21828043648797,0.1634915998897104,age_group,0.2201572224100734,ESTIMATED,0.01103509136370226,0.005615046850284716,0.0029185542385818664,age_group,0.2238954833382547,ESTIMATED,0.16641015412829227,8936,oak,acti,5419.6785714285725,720
0.38018667175858045,0.4816716394564153,0.3581026933921893,sex,0.39721580884464286,ESTIMATED,0.017029137086062407,-0.025289120921439923,0.0005770868732350443,age_group,0.45638251853497536,ESTIMATED,0.35867978026542435,8936,oak,adept,1903.8577016473146,720
0.13783053162632586,0.1415991606976205,0.1811426729218608,sex,0.15317819595159143,ESTIMATED,0.015347664325265575,0.005062389440885884,0.00015637367926968349,sex,0.14666155013850637,ESTIMATED,0.18129904660113047,8936,oak,scrf,7385.142857142857,720
0.2829911635706426,0.3165864980088033,0.3059599124104593,age_group,0.29481394497992935,ESTIMATED,0.011822781409286776,-0.01738157837793508,-0.001435588090023976,sex,0.2992049196308682,ESTIMATED,0.3045243243204353,8936,oak,scssl,5761.478571428571,720
