exposure,source_algorithm,target_algorithm,method,method_role,group_type,n_groups_compared,group_levels,group_ns,grid_n,source_grid_min,source_grid_max,target_iqr,mean_between_subgroup_spread_predicted_target,mean_between_subgroup_spread_predicted_target_over_target_iqr,p50_between_subgroup_spread_predicted_target,p50_between_subgroup_spread_predicted_target_over_target_iqr,p95_between_subgroup_spread_predicted_target,p95_between_subgroup_spread_predicted_target_over_target_iqr,max_between_subgroup_spread_predicted_target,max_between_subgroup_spread_predicted_target_over_target_iqr,note
daily_steps,oak,adept,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,3101.1232142857143,20704.76785714287,1919.4027944454592,264.6926695084474,0.1379036595520434,254.10239532454943,0.1323861755645526,439.1007946850595,0.2287694880698147,550.8877509866356,0.2870099765306397,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,scrf,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,3101.1232142857143,20704.76785714287,7482.482142857143,450.3268093673285,0.0601841475555294,419.6421238280891,0.0560832776899686,901.2611992945332,0.1204494955133152,1415.5640882331063,0.1891837576364173,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,scrf,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,3101.1232142857143,20704.76785714287,7482.482142857143,632.4864925601624,0.0845289678591402,633.0671499433083,0.0846065701002228,1031.31449163449,0.1378305316263258,1282.5614979228849,0.1714085611480184,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,scrf,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,3101.1232142857143,20704.76785714287,7482.482142857143,482.4206026913687,0.0644733383228842,422.7594325210521,0.0564998919408879,1059.513191363505,0.1415991606976205,1403.7279627640492,0.1876019128363791,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,scssl,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,3101.1232142857143,20704.76785714287,5813.0,1101.595444592904,0.1895054953712203,1075.062964380195,0.1849411602236702,1585.1420057720045,0.2726891460127308,2120.8001493428947,0.3648374590302588,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,scssl,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,3101.1232142857143,20704.76785714287,5813.0,1073.7350394283828,0.1847127196677073,1016.8667987185216,0.1749297778631553,1840.3173129251736,0.3165864980088033,2196.7968979956113,0.3779110438664392,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,scssl,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,3101.1232142857143,20704.76785714287,5813.0,818.141082654062,0.1407433481255912,821.9466463728368,0.1413980124501697,1362.9970754373176,0.2344739507031339,1450.4461872273268,0.2495176651001766,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,vs,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,3101.1232142857143,20704.76785714287,5559.857142857143,511.925771489098,0.0920753462428039,409.1829365079366,0.0735959442831407,1135.9235927656991,0.204308053890385,1625.189972275297,0.2923078652053515,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,vs,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,3101.1232142857143,20704.76785714287,5559.857142857143,195.81510429881055,0.0352194488576703,128.4179761904752,0.0230973517647762,520.4553196371216,0.0936094770538773,1099.7639566098842,0.197804355103399,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,vs,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,3101.1232142857143,20704.76785714287,5559.857142857143,364.22021702397154,0.0655089164461522,311.0341293115489,0.0559428275438948,708.5832001133713,0.1274462961739407,1041.443488284203,0.1873147927230767,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,vsrev,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,3101.1232142857143,20704.76785714287,6301.767857142858,580.6901744302229,0.0921471859316475,589.399647288019,0.0935292541155658,1011.1829831932793,0.1604602083282288,1476.2431972789163,0.2342585812020416,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,vsrev,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,3101.1232142857143,20704.76785714287,6301.767857142858,245.2922024679956,0.0389243475844583,221.36629488607105,0.0351276498760834,585.4400105708228,0.0929009166701126,753.7021189336992,0.1196016952733987,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,oak,vsrev,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,3101.1232142857143,20704.76785714287,6301.767857142858,395.5286635161968,0.0627647149946784,358.30274807987735,0.0568574971662519,944.9185689865736,0.149944998039802,1072.276959011453,0.1701549443456665,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,acti,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,2237.285714285714,22023.285714285714,5482.084523809524,568.8078689777672,0.103757588287329,559.609440321583,0.1020796811671024,922.4075396825356,0.1682585402826935,1086.7015988037729,0.1982278080690042,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,acti,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,2237.285714285714,22023.285714285714,5482.084523809524,407.29964609264096,0.0742964914757656,411.0850994548091,0.0749870049740028,813.7083680874648,0.1484304673803196,1254.971052654665,0.2289222370074987,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,acti,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,2237.285714285714,22023.285714285714,5482.084523809524,334.73503319970445,0.0610598088639274,301.222577422579,0.0549467225677246,735.1533226253459,0.134101055799571,1079.2193285525736,0.1968629494611694,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,adept,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,2237.285714285714,22023.285714285714,1919.4027944454592,277.2409180736518,0.1444412391583239,196.3526433750717,0.1022988212496588,717.714833856714,0.3739261169847734,776.5477345287545,0.4045777867865975,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,adept,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,2237.285714285714,22023.285714285714,1919.4027944454592,324.16118934413635,0.1688864840054537,342.8900549199175,0.1786441365575811,573.1730732040141,0.298620526583953,760.8639447147284,0.3964066046567114,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,adept,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,2237.285714285714,22023.285714285714,1919.4027944454592,324.2806099801026,0.1689487016057989,297.5786911661139,0.1550371251033258,639.3399947463768,0.3330931874208771,812.8360646393899,0.4234838393440126,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,oak,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,2237.285714285714,22023.285714285714,6887.578571428576,517.682325362562,0.0751617306421794,467.1015459353953,0.0678179625961801,990.8858076187462,0.1438656266992281,1312.9790257867226,0.1906299887791179,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,oak,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,2237.285714285714,22023.285714285714,6887.578571428576,517.9419222132086,0.0751994212250097,535.534357886907,0.0777536477200332,913.1349623236764,0.1325770665051419,1269.327656033288,0.1842922941451123,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,oak,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,2237.285714285714,22023.285714285714,6887.578571428576,494.54956043565613,0.0718031098022131,457.5634706959699,0.0664331398837407,1009.825333333334,0.1466154357240069,1415.714465500485,0.2055460349117798,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,scssl,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,2237.285714285714,22023.285714285714,5813.0,1284.9243278169506,0.2210432354751334,1193.6017857142851,0.2053331817846697,2110.6091666666653,0.3630843224955557,2379.5603061224465,0.409351506300094,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,scssl,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,2237.285714285714,22023.285714285714,5813.0,693.3601533637067,0.1192775078898514,638.173651922878,0.1097838726858554,1781.0004793079245,0.3063823291429424,1883.0410998877687,0.3239361947166297,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,scssl,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,2237.285714285714,22023.285714285714,5813.0,738.3999109976492,0.127025616892766,723.1293394777258,0.1243986477684028,1199.2026694288852,0.2062966917992233,1487.5837495524538,0.2559063735682872,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,vs,isotonic,headline_subgroup_curve,age_group,3,20-39|40-59|60+,2757|2949|2940,101,2237.285714285714,22023.285714285714,5559.857142857143,380.1664201992662,0.0683770122920646,291.84399801587097,0.0524912763974176,852.9111152343812,0.1534052212708617,1308.5791166321596,0.235362003556749,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,vs,isotonic,headline_subgroup_curve,sex,2,male|female,4161|4485,101,2237.285714285714,22023.285714285714,5559.857142857143,338.5568908511145,0.0608930917021969,286.2723428022309,0.0514891543877185,817.2450386904766,0.1469902944791319,967.0102917401532,0.1739271831799653,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
daily_steps,scrf,vs,isotonic,headline_subgroup_curve,bmi_group,3,<25|25-<30|>=30,2572|2741|3246,101,2237.285714285714,22023.285714285714,5559.857142857143,508.49942445367304,0.0914590809418461,495.6580455837447,0.0891494210818935,989.5059442083456,0.1779732677987209,1059.0883699633705,0.1904884141356045,"At each source-grid point, spread = max subgroup isotonic curve - min subgroup isotonic curve."
