analysis_weighting,baseline_960_observed_target_attainment_pct,delta_vs_960_observed_target_attainment_pct,n_source_directions_checked,observed_target_attainment_pct,target_algorithm,threshold_target_steps,wear_threshold
unweighted_primary,51.3763590099468,-1.226741366147614,6,50.14961764379918,vsrev,8000.0,600
WTMEC4YR_weighted_sensitivity,53.33706868189915,-1.3470645243190873,6,51.99000415758006,vsrev,8000.0,600
unweighted_primary,34.605597964376585,-0.9250039269167588,6,33.68059403745983,vsrev,10000.0,600
WTMEC4YR_weighted_sensitivity,35.26419613458566,-0.9706079281030284,6,34.29358820648263,vsrev,10000.0,600
unweighted_primary,88.11010872079575,-0.4534390699452615,6,87.65666965085049,acti,7000.0,720
WTMEC4YR_weighted_sensitivity,89.46378588203736,-0.4525781370304855,6,89.01120774500687,acti,7000.0,720
unweighted_primary,82.65093684941013,-0.8693791054531061,6,81.78155774395702,acti,8000.0,720
WTMEC4YR_weighted_sensitivity,84.43691471024445,-0.890686657448768,6,83.54622805279568,acti,8000.0,720
unweighted_primary,66.06523247744622,-1.2487597827282144,6,64.816472694718,acti,10000.0,720
WTMEC4YR_weighted_sensitivity,67.68682301987573,-1.2084789975997836,6,66.47834402227595,acti,10000.0,720
unweighted_primary,1.4341892204487623,-0.0577344308337222,6,1.3764547896150403,adept,7000.0,720
WTMEC4YR_weighted_sensitivity,1.257298010862412,-0.078413718236487,6,1.178884292625925,adept,7000.0,720
unweighted_primary,0.7864908628267407,-0.0479053659601337,6,0.738585496866607,adept,8000.0,720
WTMEC4YR_weighted_sensitivity,0.636989421559268,-0.0530373321359444,6,0.5839520894233236,adept,8000.0,720
unweighted_primary,0.1966227157066851,-0.0175716861632653,6,0.1790510295434198,adept,10000.0,720
WTMEC4YR_weighted_sensitivity,0.1567044574581063,-0.0114034388533799,6,0.1453010186047264,adept,10000.0,720
unweighted_primary,78.94980337728428,-0.3352107183764872,6,78.6145926589078,oak,7000.0,720
WTMEC4YR_weighted_sensitivity,81.39859010675782,-0.2686558871501177,6,81.1299342196077,oak,7000.0,720
unweighted_primary,72.60004626416841,-0.5543882516348333,6,72.04565801253358,oak,8000.0,720
WTMEC4YR_weighted_sensitivity,75.17345254669901,-0.5911861406433303,6,74.58226640605568,oak,8000.0,720
unweighted_primary,57.841776544066626,-0.9035491492591065,6,56.93822739480752,oak,10000.0,720
WTMEC4YR_weighted_sensitivity,60.1375871777248,-0.878942638864153,6,59.25864453886065,oak,10000.0,720
unweighted_primary,74.77446217904233,-0.4794756078695457,6,74.29498657117279,scrf,7000.0,720
WTMEC4YR_weighted_sensitivity,77.23739157627551,-0.6118371190341634,6,76.62555445724135,scrf,7000.0,720
unweighted_primary,68.37844089752487,-0.5852448366475187,6,67.79319606087735,scrf,8000.0,720
WTMEC4YR_weighted_sensitivity,70.89566009975302,-0.6487966601986415,6,70.24686343955437,scrf,8000.0,720
unweighted_primary,53.7589636826278,-0.6815241123502744,6,53.07743957027753,scrf,10000.0,720
WTMEC4YR_weighted_sensitivity,56.31034009325487,-0.7500563142290417,6,55.56028377902583,scrf,10000.0,720
