exposure,source_algorithm,target_algorithm,method,group_type,group_level,source_input,predicted_target_full_sample,predicted_target_subgroup,subgroup_minus_full,subgroup_minus_full_over_target_iqr,target_iqr
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2465.712944456777,9691.43576881134,9665.211105784596,-26.224663026745475,-0.0041614771634313,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2516.377978827371,9691.43576881134,9665.211105784596,-26.224663026745475,-0.0041614771634313,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2567.043013197964,9855.188230008982,9665.211105784596,-189.977124224386,-0.0301466395670308,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2617.708047568558,9855.188230008982,9665.211105784596,-189.977124224386,-0.0301466395670308,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2668.3730819391517,10092.423345701916,9748.50595238095,-343.91739332096586,-0.0545747480893232,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2719.038116309745,10455.702071737784,9858.889809523813,-596.8122622139745,-0.094705529582069,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2769.7031506803387,10455.702071737784,10276.239077589076,-179.4629941487092,-0.028478198216282,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2820.3681850509324,10455.702071737784,10276.239077589076,-179.4629941487092,-0.028478198216282,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2871.0332194215257,10455.702071737784,10276.239077589076,-179.4629941487092,-0.028478198216282,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2921.698253792119,10585.580307539683,10276.239077589076,-309.341229950609,-0.0490880078357663,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,2972.3632881627127,10780.12657260435,10276.239077589076,-503.8874950152731,-0.079959704393765,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3023.0283225333064,11124.388361563862,10970.027626050418,-154.36073551344452,-0.0244948305003779,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3073.6933569039,11124.388361563862,10970.027626050418,-154.36073551344452,-0.0244948305003779,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3124.3583912744934,11124.388361563862,10970.027626050418,-154.36073551344452,-0.0244948305003779,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3175.023425645087,11124.388361563862,11364.252809952808,239.86444838894568,0.0380630410111135,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3225.688460015681,11124.388361563862,11364.252809952808,239.86444838894568,0.0380630410111135,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3276.353494386274,11271.61996855346,11364.252809952808,92.63284139934694,0.014699500759037,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3327.018528756868,11271.61996855346,11364.252809952808,92.63284139934694,0.014699500759037,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3377.6835631274616,11271.61996855346,11364.252809952808,92.63284139934694,0.014699500759037,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3428.348597498055,11502.057603174604,11616.463235294115,114.40563211951304,0.0181545297626026,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3479.0136318686486,11502.057603174604,11616.463235294115,114.40563211951304,0.0181545297626026,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3529.6786662392424,11624.186406926405,11659.055555555557,34.869148629150004,0.0055332328038118,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3580.3437006098357,11624.186406926405,11659.055555555557,34.869148629150004,0.0055332328038118,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3631.0087349804294,12014.506586722278,11659.055555555557,-355.4510311667236,-0.0564049706724488,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3681.673769351023,12014.506586722278,11753.322749384968,-261.18383733731025,-0.0414461216690593,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3732.338803721616,12243.476793444648,12026.680515063168,-216.79627838148008,-0.0344024539297727,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3783.00383809221,12243.476793444648,12026.680515063168,-216.79627838148008,-0.0344024539297727,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3833.668872462804,12243.476793444648,12026.680515063168,-216.79627838148008,-0.0344024539297727,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3884.333906833397,12327.348085969708,12051.387037037037,-275.9610489326715,-0.0437910527947928,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3934.998941203991,12389.721955330806,12051.387037037037,-338.3349182937709,-0.0536888895249098,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,3985.6639755745846,12389.721955330806,12051.387037037037,-338.3349182937709,-0.0536888895249098,6301.767857142858
daily_steps,adept,vsrev,isotonic,bmi_group,>=30,4036.329009945178,12752.186142657902,12192.368265306122,-559.8178773517793,-0.0888350523285689,6301.767857142858
