exposure,algorithm_a,algorithm_b,n_pair,pearson_r,spearman_r,mean_a_minus_b,median_a_minus_b,median_abs_diff,p95_abs_diff,bland_altman_lower_loa,bland_altman_upper_loa,note
daily_steps,scrf,vsrev,8646,0.9290938814035796,0.9290796055770872,2440.440507584019,2251.857142857143,2316.267857142857,6515.892857142857,-2124.599139477606,7005.480154645644,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,scssl,vs,8646,0.8520324686432437,0.8522728446794824,-426.02360877036455,-314.2142857142853,1362.214285714285,4828.053571428572,-5205.87707628295,4353.829858742221,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,scssl,vsrev,8646,0.8214200990248636,0.8199679784440103,86.42192012821783,280.6428571428571,1641.4166666666663,5718.0,-5534.651170832232,5707.4950110886675,Unordered pairwise agreement on subjects with both exposures non-missing.
daily_steps,vs,vsrev,8646,0.9719314585508312,0.976842810029178,512.4455288985823,672.5714285714289,894.142857142857,2472.085714285714,-1962.4808802140776,2987.371938011242,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,acti,adept,8550,0.8366732671666095,0.8460910125139922,18.66918278748895,19.75067926836278,19.814417617579565,32.02910293182831,-0.2614308477315283,37.59979642270943,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,acti,oak,8642,0.909595174566324,0.916976590463118,-17.140315847669054,-17.615714285714326,17.622380952380997,29.37975694444451,-32.887142062639114,-1.3934896326989945,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,acti,scrf,8552,0.8377175626874617,0.8724281807776295,-29.891816162932276,-31.07619047619047,31.07619047619047,41.92595238095236,-47.15459194091536,-12.629040384949192,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,acti,scssl,8475,0.8585455038574643,0.8805286586714803,-27.733237617642924,-28.428571428571445,28.428571428571445,40.39666666666666,-44.850100815333775,-10.61637441995207,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,acti,vs,8644,0.914194948435197,0.9102838097215888,-4.430063077058681,-4.223015873015871,5.338095238095249,16.934523809523817,-18.633981006742697,9.77385485262533,Unordered pairwise agreement on subjects with both exposures non-missing.
peak30_cadence,acti,vsrev,8626,0.9132400977167588,0.9183722073848612,-10.678890195385677,-11.14285714285715,11.410317460317463,24.63333333333332,-28.36778385007803,7.010003459306686,Unordered pairwise agreement on subjects with both exposures non-missing.
