absolute_change,analysis_weighting,baseline_960,current,degenerate_status_changed_n,maximum,maximum_absolute_change_vs_960,median,median_absolute_change_vs_960,metric,minimum,n_comparable_nondegenerate,na_n,q25,q75,rank,section,source_algorithm,spearman_vs_960,target_algorithm,target_steps,wear_threshold
0.0712863238840235,,0.3339168180758487,0.2626304941918252,,,,,,common-support H (101-point equally spaced grid),,,,,,5,continuous_largest_absolute_change,scrf,,adept,,1296
,unweighted_primary,,,,87.26587609442535,1.3141038878488587,,,observed_target_attainment_pct,1.374265765266541,,,,,,attainment_summary,,,,7000.0,600
,WTMEC4YR_weighted_sensitivity,,,,88.65614126627361,1.3333973574956275,,,observed_target_attainment_pct,1.1551043476273686,,,,,,attainment_summary,,,,7000.0,600
,unweighted_primary,,,,81.3033359193173,1.4348288585966102,,,observed_target_attainment_pct,0.7314640363515461,,,,,,attainment_summary,,,,8000.0,600
,WTMEC4YR_weighted_sensitivity,,,,83.02520771283218,1.4183431381007878,,,observed_target_attainment_pct,0.5606225488613299,,,,,,attainment_summary,,,,8000.0,600
,unweighted_primary,,,,64.19151058406295,1.8737218933832622,,,observed_target_attainment_pct,0.1662418264435332,,,,,,attainment_summary,,,,10000.0,600
,WTMEC4YR_weighted_sensitivity,,,,65.85966154710404,1.8271614727716923,,,observed_target_attainment_pct,0.13725972227275765,,,,,,attainment_summary,,,,10000.0,600
,unweighted_primary,,,,87.65666965085049,0.7598615264152073,,,observed_target_attainment_pct,1.3764547896150403,,,,,,attainment_summary,,,,7000.0,720
,WTMEC4YR_weighted_sensitivity,,,,89.01120774500687,0.7928055211362022,,,observed_target_attainment_pct,1.178884292625925,,,,,,attainment_summary,,,,7000.0,720
,unweighted_primary,,,,81.78155774395702,0.8880639066797471,,,observed_target_attainment_pct,0.738585496866607,,,,,,attainment_summary,,,,8000.0,720
,WTMEC4YR_weighted_sensitivity,,,,83.54622805279568,0.930685140996026,,,observed_target_attainment_pct,0.5839520894233236,,,,,,attainment_summary,,,,8000.0,720
,unweighted_primary,,,,64.816472694718,1.2487597827282144,,,observed_target_attainment_pct,0.17905102954341987,,,,,,attainment_summary,,,,10000.0,720
,WTMEC4YR_weighted_sensitivity,,,,66.47834402227595,1.2084789975997836,,,observed_target_attainment_pct,0.1453010186047264,,,,,,attainment_summary,,,,10000.0,720
,unweighted_primary,,,,89.64790478551946,1.6169487455992169,,,observed_target_attainment_pct,1.524919414827672,,,,,,attainment_summary,,,,7000.0,1296
,WTMEC4YR_weighted_sensitivity,,,,90.893009933097,1.6193559434240186,,,observed_target_attainment_pct,1.3693333597042658,,,,,,attainment_summary,,,,7000.0,1296
,unweighted_primary,,,,84.45326060004959,1.8023237506394594,,,observed_target_attainment_pct,0.8554425985618647,,,,,,attainment_summary,,,,8000.0,1296
,WTMEC4YR_weighted_sensitivity,,,,86.05533539243541,1.6184206821909584,,,observed_target_attainment_pct,0.6876683993446728,,,,,,attainment_summary,,,,8000.0,1296
,unweighted_primary,,,,68.18745350855443,2.122221031108211,,,observed_target_attainment_pct,0.22315893875526904,,,,,,attainment_summary,,,,10000.0,1296
,WTMEC4YR_weighted_sensitivity,,,,69.86492983101513,2.1781068111394006,,,observed_target_attainment_pct,0.14596610572103108,,,,,,attainment_summary,,,,10000.0,1296
